,zone,code,pitch_type,ab_id,b_count,s_count,outs,pitch_num,on_1b,on_2b,on_3b,batter_id,g_id,inning,pitcher_id,stand,top,home_team,start_time,weather,wind,pitch_height,pitch_width,FF_height,FF_width,CH_height,CH_width,SL_height,SL_width,FC_height,FC_width,CU_height,CU_width,run_dif,run_total,batter_score
81,14.0,0,SL,2015000679.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,518595,201500010,7,453286,R,True,1,4.15,76,"14 mph, Out to CF",-2,-2,0,0,0,0,-2,-2,0,0,0,0,1.0,3.0,0.03501945525291829
82,14.0,0,SL,2015000679.0,1.0,2.0,1.0,4.0,1.0,0.0,0.0,518595,201500010,7,453286,R,True,1,4.15,76,"14 mph, Out to CF",-2,-2,0,0,0,0,-2,-2,0,0,0,0,1.0,3.0,0.03501945525291829
83,1.0,1,SL,2015000679.0,2.0,2.0,1.0,5.0,1.0,0.0,0.0,518595,201500010,7,453286,R,True,1,4.15,76,"14 mph, Out to CF",1,1,0,0,0,0,1,1,0,0,0,0,1.0,3.0,0.05333333333333334
84,6.0,0,SL,2015000680.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,527038,201500010,7,453286,R,True,1,4.15,76,"14 mph, Out to CF",0,-1,0,0,0,0,0,-1,0,0,0,0,2.0,4.0,0.10119047619047619
85,5.0,0,FF,2015000681.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,543590,201500010,7,453286,L,True,1,4.15,76,"14 mph, Out to CF",0,0,0,0,0,0,0,0,0,0,0,0,2.0,4.0,0.0905982905982906
86,11.0,0,FF,2015000681.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,543590,201500010,7,453286,L,True,1,4.15,76,"14 mph, Out to CF",2,-2,2,-2,0,0,0,0,0,0,0,0,2.0,4.0,0.09895833333333333
87,14.0,0,CH,2015000681.0,0.0,2.0,2.0,3.0,0.0,0.0,1.0,543590,201500010,7,453286,L,True,1,4.15,76,"14 mph, Out to CF",-2,2,0,0,-2,2,0,0,0,0,0,0,2.0,4.0,0.06647398843930635
88,8.0,0,CH,2015000681.0,1.0,2.0,2.0,4.0,0.0,0.0,1.0,543590,201500010,7,453286,L,True,1,4.15,76,"14 mph, Out to CF",-1,0,0,0,-1,0,0,0,0,0,0,0,2.0,4.0,0.06837606837606838
89,11.0,0,FF,2015000685.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,434158,201500010,8,453286,L,True,1,4.15,76,"14 mph, Out to CF",2,-2,2,-2,0,0,0,0,0,0,0,0,2.0,4.0,0.08304498269896193
90,13.0,0,CU,2015000685.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,434158,201500010,8,453286,L,True,1,4.15,76,"14 mph, Out to CF",-2,-2,0,0,0,0,0,0,0,0,-2,-2,2.0,4.0,0.043478260869565216
